,iso3,survey
1,AFG,ALCS17
375,AGO,DHS16
735,ALB,DHS18
879,ARM,DHS16
967,BDI,DHS17
1183,BEN,MICS14
1327,BFA,MIS14
1444,BGD,DHS14
1535,BIH,MICS12
1571,BLR,MICS12
1620,BLZ,MICS16
1711,BOL,EDS16
1756,BRB,MICS12
1792,CAF,MICS10
2047,CIV,MICS16
2201,CMR,MICS14
2369,COD,DHS14
2512,COG,MICS15
2656,COL,DHS15
2662,COM,DHS12
2698,CRI,MICS11
2782,DOM,MICS14
2902,DZA,MICS13
3000,EGY,DHS15
3048,ETH,DHS16
3191,GAB,DHS12
3261,GEO,WMS13
3311,GHA,DHS17
3441,GIN,MICS16
3545,GMB,DHS13
3609,GNB,MICS14
3672,GTM,DHS15
3728,GUY,MICS14
3848,HND,DHS12
3992,HTI,DHS17
4135,IDN,DHS12
4333,IND,DHS16
4765,IRQ,MICS18
4909,JAM,MICS11
4945,JOR,DHS12
4966,KAZ,MICS15
5142,KEN,MIS15
5246,KGZ,MICS14
5327,KHM,DHS14
5555,LAO,MICS17
5735,LBR,MIS16
5813,LSO,DHS14
5913,MDA,MICS12
5965,MDG,MIS16
6229,MEX,MICS15
6289,MKD,MICS11
6393,MLI,MICS15
6497,MNE,MICS13
6530,MNG,MICS14
6570,MOZ,AIS15
6647,MRT,MICS15
6764,MWI,MIS17
6797,NAM,DHS13
6966,NER,DHS12
7030,NGA,MICS17
7114,NIC,ENDESA11
7132,NPL,DHS16
7216,PAK,DHS13
7288,PAN,MICS13
7432,PER,ENDES16
7657,PHL,DHS17
7895,PRY,MICS16
8021,PSE,MICS14
8037,RWA,MIS17
8092,SDN,MICS14
8326,SEN,DHS17
8494,SLE,MICS17
8534,SLV,MICS14
8599,SOM,SFHS16
8626,SRB,MICS14
8674,STP,MICS14
8706,SUR,MICS11
8846,SWZ,MICS14
8890,TCD,DHS15
9121,TGO,MIS17
9199,THA,MICS16
9259,TJK,DHS17
9314,TKM,MICS16
9350,TTO,MICS11
9405,TUN,MICS12
9513,TUR,DHS13
9533,TZA,MIS17
9967,UGA,DHS16
10162,UKR,MICS12
10227,URY,MICS13
10248,VNM,MICS14
10326,YEM,DHS13
10473,ZMB,DHS14
10593,ZWE,DHS15